latitude,longitude,frequency
42.333,-71.166,24
42.366,-71.106,178
42.298,-71.12,78
42.424,-71.068,46
42.304,-71.098,36
42.448,-71.23,47
42.377,-71.077,1
42.619,-71.295,3
42.36,-71.133,43
42.308,-71.278,7
42.341,-71.072,134
42.326,-71.117,1036
42.363,-71.06400000000001,2296
42.582,-71.243,1
42.352000000000004,-71.08500000000001,2607
42.421,-71.168,21
42.372,-71.13,1463
42.425000000000004,-71.138,1
42.379,-71.089,4
42.38,-71.068,35
42.338,-71.09700000000001,17
42.459,-71.045,14
42.334,-71.155,12
42.37,-71.096,20
42.328,-71.33200000000001,24
42.269,-71.218,1
42.529,-71.16,3
42.317,-71.098,2
42.349000000000004,-71.114,17
42.537,-71.161,3
42.359,-71.053,4436
42.322,-71.117,127
42.374,-71.139,11
42.299,-71.101,1134
42.351,-71.09100000000001,2031
42.388,-71.041,2
42.372,-71.128,2809
42.352000000000004,-71.043,440
42.287,-71.059,203
42.383,-71.07600000000001,24
42.257,-71.298,1
42.34,-71.284,15
42.353,-71.108,773
42.342,-71.095,750
42.333,-71.013,41
42.325,-71.10000000000001,2
42.296,-71.051,1
42.377,-71.089,36
42.456,-71.136,2
42.353,-71.118,140
42.357,-71.145,6
42.361000000000004,-71.08,2869
42.641,-71.311,8
42.35,-71.13,222
42.337,-71.031,5
42.33,-71.145,30
42.34,-71.108,2
42.349000000000004,-71.056,12
42.361000000000004,-71.154,12
42.364000000000004,-71.09700000000001,16
42.274,-71.145,185
42.34,-71.278,19
42.487,-71.133,2
42.331,-71.327,12
42.329,-71.32900000000001,9
42.247,-71.036,1
42.391,-71.14,19
42.355000000000004,-71.134,67
42.34,-71.271,63
42.381,-71.11,138
42.363,-71.101,385
42.399,-71.133,26
42.353,-71.141,17
42.372,-71.09,163
42.388,-71.122,7
42.337,-71.122,19
42.344,-71.081,22
42.354,-71.048,2041
42.377,-71.122,20
42.305,-71.282,3
42.277,-71.109,17
42.462,-71.143,3
42.565,-71.202,1
42.293,-71.09700000000001,133
42.324,-71.34400000000001,26
42.42,-71.164,23
42.349000000000004,-71.152,33
42.435,-71.068,8
42.376,-71.058,10
42.427,-71.037,11
42.411,-71.08500000000001,1
42.433,-71.046,29
42.586,-71.25,1
42.292,-71.111,3
42.38,-71.116,6
42.278,-71.047,209
42.258,-71.135,265
42.455,-71.104,1
42.377,-71.08,14
